IP Address	MAC Address
192.168.56.1	---
192.168.56.255	ff-ff-ff-ff-ff-ff
224.0.0.2	01-00-5e-00-00-02
224.0.0.22	01-00-5e-00-00-16
224.0.0.251	01-00-5e-00-00-fb
224.0.0.252	01-00-5e-00-00-fc
239.255.255.250	01-00-5e-7f-ff-fa
255.255.255.255	ff-ff-ff-ff-ff-ff
192.168.216.1	---
192.168.216.254	00-50-56-ef-2d-ca
192.168.216.255	ff-ff-ff-ff-ff-ff
224.0.0.2	01-00-5e-00-00-02
224.0.0.22	01-00-5e-00-00-16
224.0.0.251	01-00-5e-00-00-fb
224.0.0.252	01-00-5e-00-00-fc
239.255.255.250	01-00-5e-7f-ff-fa
255.255.255.255	ff-ff-ff-ff-ff-ff
192.168.1.2	---
192.168.1.1	b4-f9-49-7a-b4-e0
192.168.1.255	ff-ff-ff-ff-ff-ff
224.0.0.2	01-00-5e-00-00-02
224.0.0.22	01-00-5e-00-00-16
224.0.0.251	01-00-5e-00-00-fb
224.0.0.252	01-00-5e-00-00-fc
239.255.102.18	01-00-5e-7f-66-12
239.255.255.250	01-00-5e-7f-ff-fa
255.255.255.255	ff-ff-ff-ff-ff-ff
192.168.142.1	---
192.168.142.254	00-50-56-e2-76-58
192.168.142.255	ff-ff-ff-ff-ff-ff
224.0.0.2	01-00-5e-00-00-02
224.0.0.22	01-00-5e-00-00-16
224.0.0.251	01-00-5e-00-00-fb
224.0.0.252	01-00-5e-00-00-fc
239.255.255.250	01-00-5e-7f-ff-fa
255.255.255.255	ff-ff-ff-ff-ff-ff
